,CL7R,CL1R,CL5R,MOD,CT2BIN,DEMOC,CL2R,FEMALE,COLGRD,CL9R,CON,WWWWHITE,SOMCOL,INDEP,BABS,REPUB,CL8R,AGE65PLM,COMHS,AGE4049M,IWER3,CD4A_A,W12EDUC3,PTYID3,W2TOTCL,WWWBLACK,STRATA,AGE3039,VPROUD,FIPCOM,DOG6R,LIB,DOG3R,AGE5059M,P17_A,CL7,W1TRUAM2,F3,DOG4R,CD7_A,WWWHOMLN,CD15,CT1A,PROUD,AGE1829,CL9,SEC5,COMPLET2,ADVDEG,GT2,CENSDIV,W2CIVLIB,EDUCAT4,WWWAGEC1,CL1,CL2,INCA,W1STATE,CL5,FIP2,X1,CL4A,WWWEDU3,INCOME,B1,MEANFR,CL6B,FIP1,WWWEDU5,CL10R,CD8,W2SECURE,SEC4,WWWHISP,CL8,WWWAGE,IWER1,CD6,CLPROP,WWWRACE3,WWWRACE4,NEWRACE,MNDOG,AGE6064M,V1_B,POLINT,RI2_A,LOPROU,B2,LTHS,DOG2R,USAWT2RC,DOG5R,USAWT1RV,DOG1R,WWWBRNUS,PFR5R,F5,PFR1R,DG3,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1642,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0000000000000002,-1,1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.25,-1.0,-0.1428571428571428,-0.9999999999999999,-1.0,-0.33333333333333326,-1.0,0.0,-1.0,-0.8585858585858586,0.3333333333333335,-1.0,-1.0,0.1428571428571428,-0.9999999999999999,1.0,-1.0,0.0,0.9999999999999998,0.8181818181818183,1.0,0.9999999999999998,0.1428571428571428,0.1428571428571428,1.0,-0.8181818181818182,0.33333333333333326,-1.0,-0.9387755102040817,-1.0,1.0,1.0,-1.0,-0.33333333333333326,0.5,-0.9999999999999999,0.5,1.0,-0.9999999999999999,-0.6363636363636362,-1.0,-1,0.1428571428571428,0.666666666666667,1.0,-0.11111111111111116,1.0,-1,-0.9999999999999999,-1.0,-0.58333333333335,-1.0,-0.75,1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.5,-1.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.25,-0.7142857142857142,-0.75,1,0,0,0,0,0,0
3189,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,1.0000000000000002,-1,1.0,-1.0,1.0,1.0,-0.75,-1.0,-0.75,1.0,-0.1428571428571428,-0.9999999999999999,-1.0,1.0,-1.0,0.75,-1.0,-0.9797979797979798,-0.33333333333333326,-1.0,-1.0,0.1428571428571428,1.0,-1.0,-1.0,-1.0,-0.3548387096774195,0.4545454545454546,0.3333333333333335,0.33333333333333326,0.1428571428571428,-0.9999999999999999,-1.0,0.38181818181818183,0.33333333333333326,-1.0,-0.9387755102040817,-1.0,0.0,0.75,-1.0,-0.8666666666666666,0.0,-0.9999999999999999,0.0,1.0,-0.9999999999999999,-0.2727272727272727,-0.75,-1,0.1428571428571428,0.09090909090909105,1.0,-0.7777777777777778,0.5,-1,-0.9999999999999999,-1.0,-0.75,-1.0,-0.25,0.3333333333333335,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.25,-0.7142857142857142,-0.5,1,0,1,1,1,1,1
928,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-0.9999999999999999,0.1428571428571428,0.20000000000000018,1.0,-1.0,0.0,-1.0,-0.8181818181818181,1.0,-1.0,-1.0,-0.9999999999999999,1.0,-1.0,-1.0,0.0,0.35483870967741926,-1.0,0.3333333333333335,0.0,0.1428571428571428,0.1428571428571428,-1.0,-1.0,-1.0,-1.0,-0.9591836734693877,0.0,0.0,0.75,-1.0,-0.7333333333333333,0.0,0.1428571428571428,0.0,1.0,-0.9999999999999999,-1.0,-0.5,-1,0.1428571428571428,-0.15151515151515138,1.0,-0.11111111111111116,0.13888888888899986,-1,-0.9999999999999999,-1.0,0.1666666666666501,-1.0,-0.75,0.3333333333333335,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.5,-1.0,-0.5,-0.49343260983265014,1.0,1.0,-1.0,-0.25,-0.7142857142857142,-1.0,0,0,0,0,0,0,0
610,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1.0,1.0,0.0,-0.75,-1.0,-0.75,1.0,-0.1428571428571428,0.1428571428571428,1.0,0.3333333333333335,-0.75,0.75,-1.0,-0.8181818181818181,-0.33333333333333326,-1.0,-1.0,0.1428571428571428,1.0,-1.0,-1.0,0.0,-0.3548387096774195,-1.0,-0.9999999999999999,0.33333333333333326,0.1428571428571428,-0.9999999999999999,-1.0,-0.4181818181818182,0.33333333333333326,-1.0,-0.9795918367346939,1.0,-1.0,0.0,-1.0,0.11111111111113336,-1.0,0.1428571428571428,-1.0,1.0,-0.9999999999999999,-1.0,-0.75,-1,-0.9999999999999999,0.18181818181818188,1.0,-0.7777777777777778,0.13888888888899986,-1,-0.9999999999999999,-1.0,0.08333333333334991,-1.0,-1.0,-0.33333333333333326,-0.9999999999999999,-1.0,-0.9999999999999999,1.0,0.5,-1.0,0.5,-0.5105875932525911,1.0,1.0,1.0,1.0,-0.1428571428571428,-0.5,0,0,1,1,0,0,0
1575,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,1.0000000000000002,-1,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.7142857142857144,-0.9999999999999999,-1.0,-0.33333333333333326,-1.0,0.0,-1.0,-0.8787878787878788,1.0,-1.0,-1.0,0.1428571428571428,-0.33333333333333326,-1.0,-1.0,-1.0,-0.3548387096774195,0.2727272727272727,1.0,-0.33333333333333326,-0.9999999999999999,-0.9999999999999999,0.0,-0.09090909090909094,-1.0,-1.0,-0.9795918367346939,0.5,1.0,-0.75,0.0,0.06666666666666687,0.5,0.1428571428571428,0.5,1.0,-0.5999999999999999,-0.09090909090909083,-1.0,-1,0.1428571428571428,-0.606060606060606,1.0,0.33333333333333326,0.25,-1,-0.9999999999999999,-1.0,0.0,-1.0,-0.75,0.3333333333333335,-0.9999999999999999,-1.0,0.1428571428571428,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.75,-0.5,-0.1428571428571428,-1.0,0,0,1,1,1,1,1
185,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0000000000000002,-1,-1.0,-1.0,1.0,1.0,-0.25,-1.0,-0.75,-1.0,-0.9999999999999999,0.1428571428571428,1.0,0.3333333333333335,-0.75,0.0,1.0,-0.8585858585858586,-0.33333333333333326,-1.0,-1.0,-0.9999999999999999,0.3333333333333335,-1.0,-1.0,0.0,0.41935483870967727,0.4545454545454546,0.3333333333333335,0.9999999999999998,-0.9999999999999999,-0.9999999999999999,-1.0,0.709090909090909,-1.0,-1.0,-0.9795918367346939,0.0,0.0,-0.25,-1.0,-0.06666666666666665,0.0,-0.9999999999999999,0.0,-1.0,-0.9999999999999999,-0.2727272727272727,-0.75,-1,-0.9999999999999999,0.666666666666667,1.0,-0.11111111111111116,-0.97222222222225,-1,-0.9999999999999999,-1.0,-0.1666666666666501,-1.0,-0.75,0.3333333333333335,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.5,-0.9893702882403226,-0.5,-0.9902092099102042,0.5,1.0,-0.5,-0.75,-0.7142857142857142,-0.5,0,0,0,1,0,1,1
2782,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0000000000000002,1,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.25,1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,0.75,-1.0,-0.8585858585858586,1.0,-1.0,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,0.35483870967741926,0.4545454545454546,0.3333333333333335,0.33333333333333326,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,0.33333333333333326,0.0,-0.9387755102040817,0.0,0.0,1.0,-1.0,0.7333333333333334,0.5,0.1428571428571428,0.0,1.0,-0.9999999999999999,-0.2727272727272727,-1.0,-1,0.1428571428571428,0.030303030303030498,1.0,0.5555555555555554,0.5,0,-0.33333333333333326,0.0,0.1666666666666501,-1.0,-0.75,1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,1.0,-1.0,1.0,-1.0,0.5,1.0,-0.25,-1.0,-0.4285714285714285,-0.75,0,0,0,0,0,0,0
449,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1,0.0,-1.0,1.0,-1.0,-0.25,-1.0,0.0,1.0,1.0,0.1428571428571428,0.20000000000000018,-0.9999999999999999,-0.25,-0.75,-1.0,-0.9797979797979798,0.3333333333333335,-1.0,-1.0,-0.9999999999999999,0.3333333333333335,1.0,-1.0,-1.0,-0.935483870967742,-1.0,-0.9999999999999999,0.33333333333333326,0.1428571428571428,-0.9999999999999999,0.0,0.19999999999999996,-1.0,0.0,-0.9591836734693877,0.0,-1.0,-1.0,-1.0,0.7333333333333334,-1.0,0.1428571428571428,-1.0,1.0,0.20000000000000018,-1.0,-0.25,-1,-0.9999999999999999,0.030303030303030498,1.0,-0.11111111111111116,-0.41666666666675,0,-0.33333333333333326,0.0,0.25,-1.0,-0.75,0.3333333333333335,-0.9999999999999999,-1.0,-0.9999999999999999,1.0,1.0,-1.0,-0.5,-0.9604926550192924,-1.0,1.0,-0.75,-0.5,-0.1428571428571428,-1.0,0,0,0,0,0,0,0
1198,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1.0,1.0,0.0,0.0,-1.0,-0.25,-1.0,-0.9999999999999999,0.1428571428571428,0.20000000000000018,0.3333333333333335,-0.75,-0.75,-1.0,-0.9797979797979798,-0.33333333333333326,-1.0,-1.0,0.1428571428571428,0.3333333333333335,-1.0,-1.0,0.0,-0.935483870967742,-1.0,-0.33333333333333326,0.0,0.1428571428571428,0.1428571428571428,-1.0,0.2727272727272727,0.33333333333333326,-1.0,-0.9591836734693877,0.0,0.0,0.5,-1.0,-0.06666666666666665,0.5,0.1428571428571428,-0.5,1.0,1.0000000000000004,-1.0,-1.0,-1,0.1428571428571428,-0.36363636363636354,1.0,-0.7777777777777778,0.6944444444444999,-1,-0.9999999999999999,-1.0,0.4166666666666501,-1.0,-1.0,0.3333333333333335,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,0.5,-1.0,0.5,0.12036867478464042,0.5,1.0,-0.75,-0.5,-0.4285714285714285,-0.75,0,0,0,0,0,0,0
1356,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1,1.0,1.0,1.0,-0.5,-0.25,-1.0,-0.25,-1.0,-0.1428571428571428,-0.9999999999999999,0.20000000000000018,0.3333333333333335,-1.0,0.75,-1.0,-0.9797979797979798,-0.33333333333333326,-1.0,-1.0,0.1428571428571428,0.3333333333333335,-1.0,-1.0,-1.0,0.41935483870967727,0.4545454545454546,1.0,-0.33333333333333326,-0.9999999999999999,0.1428571428571428,-1.0,0.4181818181818182,0.9999999999999998,0.5,-0.9183673469387755,-1.0,1.0,0.75,-1.0,-0.06666666666666665,0.5,0.1428571428571428,0.5,1.0,-0.9999999999999999,-0.2727272727272727,-1.0,-1,0.1428571428571428,-0.5454545454545454,1.0,-0.11111111111111116,0.6944444444444999,0,-0.33333333333333326,0.0,-0.25,-1.0,-0.75,0.3333333333333335,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-0.16226466007572848,-1.0,-0.5510665254540431,0.5,1.0,-0.75,-0.5,-0.1428571428571428,-0.75,0,0,1,1,0,1,1
399,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,0.0,-1.0,1.0,0.0,-0.75,-1.0,-1.0,-1.0,-0.1428571428571428,0.1428571428571428,0.20000000000000018,0.3333333333333335,-0.75,0.75,1.0,-0.8585858585858586,1.0,-1.0,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.935483870967742,-1.0,-0.9999999999999999,0.9999999999999998,0.1428571428571428,-0.9999999999999999,0.0,0.2727272727272727,0.33333333333333326,-1.0,-0.9387755102040817,0.0,-1.0,-0.5,0.0,0.06666666666666687,0.5,0.1428571428571428,-1.0,1.0,-0.9999999999999999,-1.0,-0.75,-1,0.1428571428571428,0.7878787878787881,1.0,-0.7777777777777778,0.41666666666675,-1,-0.9999999999999999,-1.0,-0.4166666666666501,-1.0,-0.75,0.3333333333333335,-0.9999999999999999,-1.0,-0.9999999999999999,1.0,0.5,-1.0,-0.5,-0.9788207019913464,-0.5,1.0,-0.75,-0.5,-0.1428571428571428,-0.25,0,0,1,0,0,0,0
